id, address, city, max_speed, created_at, updated_at
1, van de Biesenbospad 9-q, Bemelen, 50, 2022-11-11 11:31:20, 2022-11-11 11:31:20
2, Huijbenstraat 97-34, Den Hoorn, 80, 2022-11-11 11:31:20, 2022-11-11 11:31:20
3, Güneşdreef 6653, Netersel, 50, 2022-11-11 11:31:20, 2022-11-11 11:31:20
4, Draaismasteeg 642, de Hoef, 50, 2022-11-11 11:31:20, 2022-11-11 11:31:20
5, Lagerweijboulevard 9-8, Stroobos, 50, 2022-11-11 11:31:20, 2022-11-11 11:31:20
6, Schatteleijnring 74j, 't Goy, 50, 2022-11-11 11:31:20, 2022-11-11 11:31:20
7, de Boersingel 8, Ulvenhout AC, 100, 2022-11-11 11:31:20, 2022-11-11 11:31:20
8, Yükselsteeg 68, Sassenheim, 50, 2022-11-11 11:31:20, 2022-11-11 11:31:20
9, Güneşsteeg 576, Cruquius, 100, 2022-11-11 11:31:20, 2022-11-11 11:31:20
10, van den Wittenboersteeg 2661, Uitwellingerga, 100, 2022-11-11 11:31:20, 2022-11-11 11:31:20
11, Honingbaan 5-f, Elst, 100, 2022-11-11 11:31:20, 2022-11-11 11:31:20
12, Soekhoesingel 88m, Tzum, 50, 2022-11-11 11:31:20, 2022-11-11 11:31:20
13, Bechtdreef 89, Neer, 80, 2022-11-11 11:31:20, 2022-11-11 11:31:20
14, Poststraat 62u, Nijensleek, 100, 2022-11-11 11:31:20, 2022-11-11 11:31:20
15, Hendriksbaan 62-70, Odiliapeel, 80, 2022-11-11 11:31:20, 2022-11-11 11:31:20
16, de Smitsingel 5-8, Lithoijen, 50, 2022-11-11 11:31:20, 2022-11-11 11:31:20
17, Loukilibaan 1q, De Kiel, 100, 2022-11-11 11:31:20, 2022-11-11 11:31:20
18, Zhangboulevard 6, Noord-Sleen, 100, 2022-11-11 11:31:20, 2022-11-11 11:31:20
19, van Gilslaan 364, Lith, 50, 2022-11-11 11:31:20, 2022-11-11 11:31:20
20, van de Bergboulevard 3728, Lekkerkerk, 50, 2022-11-11 11:31:20, 2022-11-11 11:31:20
21, van Laonhof 84, Nieuw Annerveen, 100, 2022-11-11 11:31:20, 2022-11-11 11:31:20
22, Kösestraat 7-k, Sint Anthonis, 100, 2022-11-11 11:31:20, 2022-11-11 11:31:20
23, Kuiperring 96t, Laag-Keppel, 80, 2022-11-11 11:31:20, 2022-11-11 11:31:20
24, Nguyenweg 3-9, Driehuis NH, 100, 2022-11-11 11:31:20, 2022-11-11 11:31:20
25, Aeijebaan 50-r, Feanwâlden, 100, 2022-11-11 11:31:20, 2022-11-11 11:31:20
26, Bihariesingel 7, Slochteren, 100, 2022-11-11 11:31:20, 2022-11-11 11:31:20
27, Rouwenhorstdreef 7-6, Bruinisse, 50, 2022-11-11 11:31:20, 2022-11-11 11:31:20
28, Winnrichpad 3, Joppe, 80, 2022-11-11 11:31:20, 2022-11-11 11:31:20
29, van den Veldenweg 72n, Echtenerbrug, 80, 2022-11-11 11:31:20, 2022-11-11 11:31:20
30, Bleijenbergweg 8056, Lisse, 80, 2022-11-11 11:31:20, 2022-11-11 11:31:20
=======
1, Vroeg in de Weihof 5, Santpoort-Zuid, 100, 2022-11-01 12:41:10, 2022-11-01 12:41:10
2, de Keijzerboulevard 93-l, Oldelamer, 50, 2022-11-01 12:41:10, 2022-11-01 12:41:10
3, Bleesring 650, Badhoevedorp, 80, 2022-11-01 12:41:10, 2022-11-01 12:41:10
4, Huismanlaan 3-5, Haaksbergen, 100, 2022-11-01 12:41:10, 2022-11-01 12:41:10
5, van Loonbaan 2, Appeltern, 100, 2022-11-01 12:41:10, 2022-11-01 12:41:10
6, Hofmanhof 1173, Smilde, 100, 2022-11-01 12:41:10, 2022-11-01 12:41:10
7, van der Walsingel 3483, Heesselt, 50, 2022-11-01 12:41:10, 2022-11-01 12:41:10
8, Jansenweg 6, Langeweg, 100, 2022-11-01 12:41:10, 2022-11-01 12:41:10
9, Dijkstrahof 2-2, Sprundel, 50, 2022-11-01 12:41:10, 2022-11-01 12:41:10
10, Moussaouipad 17q, Ommeren, 50, 2022-11-01 12:41:10, 2022-11-01 12:41:10
11, Mohammadboulevard 94-26, Wemeldinge, 100, 2022-11-01 12:41:10, 2022-11-01 12:41:10
12, Courtiersteeg 1772, Erichem, 80, 2022-11-01 12:41:10, 2022-11-01 12:41:10
13, Mangalhof 954, Leons, 100, 2022-11-01 12:41:10, 2022-11-01 12:41:10
14, van Bol'es Rijnbendebaan 8m, Baaium, 50, 2022-11-01 12:41:10, 2022-11-01 12:41:10
15, Kanhairing 76, Joure, 100, 2022-11-01 12:41:10, 2022-11-01 12:41:10
16, van der Nootsingel 9463, Oirlo, 50, 2022-11-01 12:41:10, 2022-11-01 12:41:10
17, Alisingel 4, Griendtsveen, 50, 2022-11-01 12:41:10, 2022-11-01 12:41:10
18, Aaltsring 7-i, Numansdorp, 80, 2022-11-01 12:41:10, 2022-11-01 12:41:10
19, van Vlietring 95, Tirns, 100, 2022-11-01 12:41:10, 2022-11-01 12:41:10
20, van de Veenhof 2-r, Tirns, 50, 2022-11-01 12:41:10, 2022-11-01 12:41:10

